img_url,Difficulty,Hide/Show,answer,hint,source,DONE?,is the hint correct?,number of units of reasoning need to solve the rebus puzzle,text present or not in image,language of text in image,spelling of individual objects/components DIFFERENT from that in the final caption?,COLOR of objects/text in image needed for answering?,POSITION of objects/text in image needed for answering?,ORIENTATION of objects/text in image needed for answering?,ASPECT RATIO of objects/text in image needed for answering?,SIZE of objects/text in image needed for answering?,STYLE/TEXTURE of objects/text in image needed for answering?,NUMBER of objects/text in image needed for answering?,"External knowledge - pop, science, culture, commonsense info needed to answer?",Annotator Assigned
https://raw.githubusercontent.com/abhi1nandy2/Re-Bus/master/images/1_1.png,HARD,SHOW,For once in my life,four ones in my life,https://eslvault.com/free-printable-rebus-puzzles/,DONE,1.0,3.0,1.0,ONLY ENGLISH,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,Khush
https://raw.githubusercontent.com/abhi1nandy2/Re-Bus/master/images/1_2.png,EASY,SHOW,Forget it,,https://eslvault.com/free-printable-rebus-puzzles/,DONE,,2.0,1.0,ONLY ENGLISH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Khush
https://raw.githubusercontent.com/abhi1nandy2/Re-Bus/master/images/1_3.png,EASY,SHOW,Try to understand,,https://eslvault.com/free-printable-rebus-puzzles/,DONE,,3.0,1.0,ONLY ENGLISH,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Khush
https://raw.githubusercontent.com/abhi1nandy2/Re-Bus/master/images/1_4.png,EASY,SHOW,Travel overseas|overseas travel,,https://eslvault.com/free-printable-rebus-puzzles/,DONE,,3.0,1.0,ONLY ENGLISH,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Khush
https://raw.githubusercontent.com/abhi1nandy2/Re-Bus/master/images/1_5.png,EASY,SHOW,Breakfast,,https://eslvault.com/free-printable-rebus-puzzles/,DONE,,2.0,1.0,ONLY ENGLISH,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Khush
https://raw.githubusercontent.com/abhi1nandy2/Re-Bus/master/images/1_6.png,EASY,SHOW,Downtown,,https://eslvault.com/free-printable-rebus-puzzles/,DONE,,1.0,1.0,ONLY ENGLISH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,Khush
https://raw.githubusercontent.com/abhi1nandy2/Re-Bus/master/images/1_7.png,HARD,SHOW,Eyeshadow,,https://eslvault.com/free-printable-rebus-puzzles/,DONE,,2.0,1.0,ONLY ENGLISH,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Khush
https://raw.githubusercontent.com/abhi1nandy2/Re-Bus/master/images/1_8.png,EASY,SHOW,Stepfather,,https://eslvault.com/free-printable-rebus-puzzles/,DONE,,2.0,1.0,ONLY ENGLISH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Khush
https://raw.githubusercontent.com/abhi1nandy2/Re-Bus/master/images/1_9.png,EASY,SHOW,Once upon a time,,https://eslvault.com/free-printable-rebus-puzzles/,DONE,,3.0,1.0,ONLY ENGLISH,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Khush
https://raw.githubusercontent.com/abhi1nandy2/Re-Bus/master/images/1_10.png,HARD,SHOW,Potatoes,pot 8 O’s,https://eslvault.com/free-printable-rebus-puzzles/,DONE,1.0,3.0,1.0,ONLY ENGLISH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Khush
https://raw.githubusercontent.com/abhi1nandy2/Re-Bus/master/images/1_11.png,EASY,SHOW,3D movie,,https://eslvault.com/free-printable-rebus-puzzles/,DONE,,2.0,1.0,ONLY ENGLISH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Khush
https://raw.githubusercontent.com/abhi1nandy2/Re-Bus/master/images/1_12.png,EASY,SHOW,Top secret,,https://eslvault.com/free-printable-rebus-puzzles/,DONE,,2.0,1.0,ONLY ENGLISH,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Khush
https://raw.githubusercontent.com/abhi1nandy2/Re-Bus/master/images/2_1.png,HARD,SHOW,Trip around the world,,https://eslvault.com/free-printable-rebus-puzzles/,DONE,,3.0,1.0,ONLY ENGLISH,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Khush
https://raw.githubusercontent.com/abhi1nandy2/Re-Bus/master/images/2_2.png,EASY,SHOW,Lemonade,,https://eslvault.com/free-printable-rebus-puzzles/,DONE,,2.0,1.0,ONLY ENGLISH,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Khush
https://raw.githubusercontent.com/abhi1nandy2/Re-Bus/master/images/2_3.png,,,Long legs,,https://eslvault.com/free-printable-rebus-puzzles/,,,,,,,,,,,,,,,Khush
